home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
NY Rangers Rangers,New Jersey Devils,1,2006,Madison Square Garden,"New York, New York",,"20,789",NHL
Columbus Blue Jackets,Phoenix Coyotes,0,2003,Nationwide Arena,"Columbus, Ohio",,"18,500",NHL
Winnipeg Jets,NY Rangers Rangers,0,2014,MTS Centre,"Winnipeg, Manitoba",,"16,345",NHL
Buffalo Sabres,Toronto Maple Leafs,1,2003,HSBC Arena,"Buffalo, New York",,"19,200",NHL
Los Angeles Kings,Phoenix Coyotes,1,2011,STAPLES Center,"Los Angeles, California",,"20,000",NHL
Anaheim Ducks,NY Islanders Islanders,0,2004,Arrowhead Pond,"Anaheim, California",,"18,336",NHL
Colorado Avalanche,Vancouver Canucks,0,2014,Pepsi Center,"Denver, Colorado",,"21,000",NHL
New Jersey Devils,NY Islanders Islanders,0,2007,Prudential Center,"Newark, New Jersey",,"19,500",NHL
Minnesota Wild,San Jose Sharks,0,2008,Xcel Energy Center,"Saint Paul, Minnesota",,"20,554",NHL
Pittsburgh Penguins,Chicago Blackhawks,1,2007,Mellon Arena,"Pittsburgh, Pennsylvania",,"17,181",NHL
Carolina Hurricanes,Minnesota Wild,1,2019,PNC Arena,"Raleigh, North Carolina",,"20,000",NHL
St Louis Blues,Dallas Stars,0,2008,Scottrade Center,"St. Louis, Missouri",,"22,000",NHL
Detroit Red Wings,Nashville Predators,1,2011,Joe Louis Arena,"Detroit, Michigan",,"20,066",NHL
Arizona Coyotes,Carolina Hurricanes,0,2017,Gila River Arena,"Phoenix, Arizona",,"18,300",NHL
Dallas Stars,Buffalo Sabres,1,2017,American Airlines Center,"Dallas, Texas",,"20,000",NHL
NY Rangers Rangers,Florida Panthers,1,2018,Madison Square Garden,"New York, New York",,"20,789",NHL
Nashville Predators,Calgary Flames,0,2017,Bridgestone Arena,"Nashville, Tennessee",,"20,000",NHL
Winnipeg Jets,Colorado Avalanche,1,2019,Bell MTS Place,"Winnipeg, Manitoba",,"16,345",NHL
Minnesota Wild,St Louis Blues,0,2017,Xcel Energy Center,"Saint Paul, Minnesota",,"20,554",NHL
Atlanta Thrashers,Tampa Bay Lightning,0,2009,Philips Arena,"Atlanta, Georgia",,"17,624",NHL
Ottawa Senators,Boston Bruins,1,2013,Canadian Tire Centre,"Ottawa, Ontario",,"18,652",NHL
New Jersey Devils,San Jose Sharks,1,2020,Prudential Center,"Newark, New Jersey",,"19,500",NHL
Dallas Stars,Anaheim Ducks,0,2010,American Airlines Center,"Dallas, Texas",,"20,000",NHL
Dallas Stars,Colorado Avalanche,1,2008,American Airlines Center,"Dallas, Texas",,"20,000",NHL
Calgary Flames,Anaheim Ducks,0,2015,Scotiabank Saddledome,"Calgary, Alberta",,"19,289",NHL
St Louis Blues,Minnesota Wild,1,2012,Scottrade Center,"St. Louis, Missouri",,"22,000",NHL
NY Islanders Islanders,Vegas Golden Knights,1,2019,NYCB Live/Nassau Coliseum,"New York, New York",,"14,500",NHL
Buffalo Sabres,NY Islanders Islanders,1,2016,KeyBank Center,"Buffalo, New York",,"19,200",NHL
Philadelphia Flyers,Nashville Predators,0,2017,Wells Fargo Center,"Philadelphia, Pennsylvania",,"20,306",NHL
Colorado Avalanche,Vancouver Canucks,0,2006,Pepsi Center,"Denver, Colorado",,"21,000",NHL
St Louis Blues,Chicago Blackhawks,1,2014,Scottrade Center,"St. Louis, Missouri",,"22,000",NHL
Phoenix Coyotes,Detroit Red Wings,1,2013,Jobing.com Arena,"Phoenix, Arizona",,"18,300",NHL
St Louis Blues,Pittsburgh Penguins,0,2018,Enterprise Center,"St. Louis, Missouri",,"22,000",NHL
