stadium_id,stadium_name,capacity
178,Xcel Energy Center,"20,554"
179,Nassau Coliseum,"14,500"
180,NYCB Live/Nassau Coliseum,"14,500"
181,SAP Center at San Jose,"17,562"
182,HP Pavilion at San Jose,"17,562"
183,Bridgestone Arena,"20,000"
184,Gaylord Entertainment Center,"20,000"
185,Sommet Center,"20,000"
186,Nashville Arena,"20,000"
187,Amalie Arena,"21,500"
188,Tampa Bay Times Forum,"21,500"
189,St. Pete Times Forum,"21,500"
190,O2 Czech Republic,"18,000"
191,Verizon Center,"20,356"
192,MCI Center,"20,356"
193,Navy-Marine Corps Memorial Stadium,"34,000"
194,Rogers Arena,"19,700"
195,General Motors Place,"19,700"
196,Air Canada Centre,"19,800"
197,Nationwide Arena,"18,500"
198,BB&T Center,"19,250"
199,BankAtlantic Center,"19,250"
200,Office Depot Center,"19,250"
201,Joe Louis Arena,"20,066"
202,Globe Arena,"6,476"
203,The Big House,"107,601"
204,TD Banknorth Garden,"19,580"
205,FleetCenter,"19,580"
206,Scottrade Center,"22,000"
207,Savvis Center,"22,000"
208,Enterprise Center,"22,000"
209,T-Mobile Arena,"17,500"
210,Rexall Place,"17,100"
211,Skyreach Centre,"16,839"
212,Canadian Tire Centre,"18,652"
213,Scotiabank Place,"19,800"
214,Corel Centre,"18,652"
215,Lansdowne Park,"24,000"
216,Jobing.com Arena,"18,300"
217,Glendale Arena,"18,300"
218,America West Arena,"18,422"
219,Philips Arena,"17,624"
220,Wachovia Center,"20,306"
221,First Union Center,"20,306"
