team_id,home_win_pct,team_name,city,league
98,48.58757062146893,Tampa Bay Buccaneers,"Tampa Bay, Florida",NFL
99,48.57142857142857,Houston Texans,"Houston, Texas",NFL
100,78.57142857142857,New England Patriots,"Foxborough, Massachusetts",NFL
101,55.42857142857143,Atlanta Falcons,"Atlanta, Georgia",NFL
102,59.42857142857143,Dallas Cowboys,"Dallas, Texas",NFL
103,66.29834254143645,Indianapolis Colts,"Indianapolis, Indiana",NFL
104,63.24324324324324,Kansas City Chiefs,"Kansas City, Missouri",NFL
105,59.77653631284916,New Orleans Saints,"New Orleans, Louisiana",NFL
106,49.411764705882355,New York Jets,"New York, New York",NFL
107,70.28571428571428,Baltimore Ravens,"Baltimore, Maryland",NFL
108,46.017699115044245,St. Louis Rams,"St. Louis, Missouri",NFL
109,68.13186813186813,Seattle Seahawks,"Seattle, Washington",NFL
110,64.36781609195403,Minnesota Vikings,"Minneapolis, Minnesota",NFL
111,60.8,San Diego Chargers,"San Diego, California",NFL
112,55.0561797752809,San Francisco 49ers,"San Francisco, California",NFL
113,69.61325966850829,Pittsburgh Steelers,"Pittsburgh, Pennsylvania",NFL
114,59.45945945945946,Philadelphia Eagles,"Philadelphia, Pennsylvania",NFL
115,52.29885057471264,Arizona Cardinals,"Phoenix, Arizona",NFL
116,43.19526627218935,Detroit Lions,"Detroit, Michigan",NFL
117,56.451612903225815,Los Angeles Rams,"Los Angeles, California",NFL
118,53.06122448979592,Los Angeles Chargers,"Los Angeles, California",NFL
119,44.0,Las Vegas Raiders,"Las Vegas, Nevada",NFL
120,54.1507024265645,Chicago Blackhawks,"Chicago, Illinois",NHL
121,49.863760217983646,Buffalo Sabres,"Buffalo, New York",NHL
122,54.46428571428571,Winnipeg Jets,"Winnipeg, Manitoba",NHL
123,51.80722891566265,Carolina Hurricanes,"Raleigh, North Carolina",NHL
124,54.774535809018566,Minnesota Wild,"Saint Paul, Minnesota",NHL
125,47.97843665768194,Florida Panthers,"Miami, Florida",NHL
126,53.350854139290405,Colorado Avalanche,"Denver, Colorado",NHL
127,56.94087403598972,Dallas Stars,"Dallas, Texas",NHL
128,45.9375,Arizona Coyotes,"Phoenix, Arizona",NHL
129,55.39280958721704,Calgary Flames,"Calgary, Alberta",NHL
130,50.847457627118644,NY Islanders Islanders,"New York, New York",NHL
131,58.84615384615385,Nashville Predators,"Nashville, Tennessee",NHL
132,59.378881987577635,Tampa Bay Lightning,"Tampa Bay, Florida",NHL
133,55.064935064935064,Vancouver Canucks,"Vancouver, British Columbia",NHL
134,55.33249686323713,St Louis Blues,"St. Louis, Missouri",NHL
135,61.08786610878661,Vegas Golden Knights,"Las Vegas, Nevada",NHL
136,46.08108108108108,Edmonton Oilers,"Edmonton, Alberta",NHL
137,57.345360824742265,Anaheim Ducks,"Anaheim, California",NHL
138,52.467532467532465,Los Angeles Kings,"Los Angeles, California",NHL
139,58.74213836477987,Pittsburgh Penguins,"Pittsburgh, Pennsylvania",NHL
140,59.14786967418546,San Jose Sharks,"San Jose, California",NHL
141,51.18421052631579,Columbus Blue Jackets,"Columbus, Ohio",NHL
142,52.38095238095239,Ottawa Senators,"Ottawa, Ontario",NHL
143,52.994791666666664,Montreal Canadiens,"Montréal, Quebec",NHL
144,57.73584905660377,Washington Capitals,"Washington, D.C.",NHL
145,51.00401606425703,Toronto Maple Leafs,"Toronto, Ontario",NHL
146,56.61764705882353,Boston Bruins,"Boston, Massachusetts",NHL
147,52.8809218950064,NY Rangers Rangers,"New York, New York",NHL
148,54.35630689206762,Philadelphia Flyers,"Philadelphia, Pennsylvania",NHL
149,53.70121130551817,New Jersey Devils,"Newark, New Jersey",NHL
150,49.528301886792455,Phoenix Coyotes,"Phoenix, Arizona",NHL
151,54.37665782493368,Detroit Red Wings,"Detroit, Michigan",NHL
152,47.266881028938904,Atlanta Thrashers,"Atlanta, Georgia",NHL
