team_id,team_name,city,elevation,median_regional_income
121,Buffalo Sabres,"Buffalo, New York",600,42186
122,Winnipeg Jets,"Winnipeg, Manitoba",784,39600
123,Carolina Hurricanes,"Raleigh, North Carolina",315,72996
124,Minnesota Wild,"Saint Paul, Minnesota",787,63483
125,Florida Panthers,"Miami, Florida",42,47860
126,Colorado Avalanche,"Denver, Colorado",5680,78177
127,Dallas Stars,"Dallas, Texas",420,58231
128,Arizona Coyotes,"Phoenix, Arizona",1086,64927
129,Calgary Flames,"Calgary, Alberta",1045,44400
130,NY Islanders Islanders,"New York, New York",33,70663
131,Nashville Predators,"Nashville, Tennessee",554,65565
132,Tampa Bay Lightning,"Tampa Bay, Florida",48,59893
133,Vancouver Canucks,"Vancouver, British Columbia",501,42000
134,St Louis Blues,"St. Louis, Missouri",614,48751
135,Vegas Golden Knights,"Las Vegas, Nevada",2001,61356
136,Edmonton Oilers,"Edmonton, Alberta",2116,44000
137,Anaheim Ducks,"Anaheim, California",157,81806
138,Los Angeles Kings,"Los Angeles, California",5075,69778
139,Pittsburgh Penguins,"Pittsburgh, Pennsylvania",1370,54306
140,San Jose Sharks,"San Jose, California",82,125075
141,Columbus Blue Jackets,"Columbus, Ohio",781,58575
142,Ottawa Senators,"Ottawa, Ontario",230,50000
143,Montreal Canadiens,"Montréal, Quebec",764,36800
144,Washington Capitals,"Washington, D.C.",409,93547
145,Toronto Maple Leafs,"Toronto, Ontario",251,39200
146,Boston Bruins,"Boston, Massachusetts",46,81744
147,NY Rangers Rangers,"New York, New York",33,70663
148,Philadelphia Flyers,"Philadelphia, Pennsylvania",39,52649
149,New Jersey Devils,"Newark, New Jersey",13,41335
150,Phoenix Coyotes,"Phoenix, Arizona",1086,64927
151,Detroit Red Wings,"Detroit, Michigan",656,34762
152,Atlanta Thrashers,"Atlanta, Georgia",1050,69164
